Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.84,0.99 (0.65),0.56 (0.35),0.83 (0.18),0.31 (0.04),0.2 (0.05),0.12 (0.01),0.0 (0.0)
svm,0.85,0.99 (0.67),0.58 (0.33),0.78 (0.16),0.54 (0.05),0.15 (0.05),0.05 (0.01),0.18 (0.01)
knn,0.86,0.99 (0.66),0.61 (0.34),0.84 (0.16),0.52 (0.05),0.35 (0.06),0.21 (0.01),0.25 (0.0)
mlp_sklearn,0.85,0.99 (0.66),0.59 (0.34),0.86 (0.15),0.49 (0.04),0.27 (0.06),0.18 (0.02),0.22 (0.01)
rand_for,0.76,0.92 (0.65),0.45 (0.35),0.61 (0.18),0.27 (0.05),0.25 (0.06),0.33 (0.01),0.17 (0.01)
dec_tree,0.83,0.98 (0.66),0.55 (0.34),0.74 (0.17),0.53 (0.05),0.24 (0.05),0.08 (0.01),0.0 (0.01)
ber_nb,0.81,0.92 (0.66),0.6 (0.34),0.7 (0.18),0.54 (0.04),0.41 (0.05),0.33 (0.01),0.22 (0.01)
xtra_tree,0.88,0.98 (0.65),0.68 (0.35),0.87 (0.17),0.54 (0.05),0.42 (0.06),0.44 (0.01),0.36 (0.01)
gau_nb,0.81,0.96 (0.64),0.54 (0.36),0.75 (0.18),0.42 (0.05),0.24 (0.05),0.35 (0.01),0.15 (0.01)
label_prop,0.82,0.94 (0.65),0.58 (0.35),0.81 (0.16),0.57 (0.05),0.2 (0.05),0.2 (0.01),0.0 (0.01)
label_spread,0.81,0.94 (0.65),0.57 (0.35),0.8 (0.17),0.56 (0.04),0.21 (0.05),0.19 (0.02),0.11 (0.01)
lda,0.78,0.98 (0.63),0.44 (0.37),0.71 (0.18),0.27 (0.06),0.04 (0.05),0.08 (0.02),0.08 (0.01)
ridge_cv,0.87,0.99 (0.65),0.66 (0.35),0.91 (0.18),0.57 (0.04),0.3 (0.06),0.32 (0.01),0.0 (0.01)
n_cent,0.77,0.93 (0.63),0.51 (0.37),0.67 (0.19),0.4 (0.05),0.22 (0.05),0.0 (0.01),0.18 (0.01)
ridge,0.88,0.99 (0.66),0.67 (0.34),0.87 (0.17),0.65 (0.05),0.27 (0.06),0.52 (0.01),0.22 (0.01)
