Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.83,0.99 (0.66),0.53 (0.34),0.81 (0.17),0.38 (0.04),0.14 (0.06),0.06 (0.02),0.0 (0.0)
svm,0.86,0.99 (0.65),0.61 (0.35),0.84 (0.17),0.6 (0.04),0.26 (0.06),0.19 (0.01),0.2 (0.0)
knn,0.85,0.99 (0.67),0.59 (0.33),0.83 (0.16),0.45 (0.05),0.25 (0.05),0.27 (0.01),0.12 (0.01)
mlp_sklearn,0.85,0.99 (0.64),0.61 (0.36),0.81 (0.17),0.57 (0.07),0.31 (0.05),0.24 (0.02),0.0 (0.01)
rand_for,0.76,0.92 (0.65),0.46 (0.35),0.6 (0.18),0.27 (0.05),0.27 (0.05),0.47 (0.01),0.25 (0.01)
dec_tree,0.83,0.97 (0.67),0.53 (0.33),0.78 (0.16),0.34 (0.05),0.25 (0.05),0.0 (0.02),0.14 (0.01)
ber_nb,0.78,0.91 (0.63),0.56 (0.37),0.72 (0.18),0.33 (0.07),0.44 (0.06),0.53 (0.01),0.0 (0.01)
xtra_tree,0.88,0.99 (0.65),0.69 (0.35),0.89 (0.17),0.54 (0.05),0.33 (0.06),0.5 (0.01),0.67 (0.01)
gau_nb,0.82,0.95 (0.67),0.57 (0.33),0.77 (0.18),0.43 (0.06),0.24 (0.05),0.5 (0.0),0.33 (0.0)
label_prop,0.82,0.95 (0.64),0.6 (0.36),0.81 (0.18),0.58 (0.06),0.22 (0.06),0.21 (0.01),0.12 (0.01)
label_spread,0.83,0.95 (0.67),0.57 (0.33),0.8 (0.15),0.49 (0.05),0.23 (0.06),0.29 (0.01),0.0 (0.01)
lda,0.79,0.98 (0.67),0.39 (0.33),0.67 (0.16),0.14 (0.05),0.05 (0.05),0.12 (0.02),0.11 (0.01)
ridge_cv,0.86,0.99 (0.66),0.61 (0.34),0.82 (0.16),0.7 (0.05),0.22 (0.05),0.29 (0.02),0.0 (0.0)
n_cent,0.8,0.95 (0.66),0.51 (0.34),0.71 (0.17),0.45 (0.05),0.15 (0.05),0.11 (0.02),0.33 (0.01)
ridge,0.88,0.99 (0.65),0.67 (0.35),0.89 (0.18),0.57 (0.04),0.25 (0.06),0.36 (0.01),0.25 (0.0)
