Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.84,0.99 (0.67),0.54 (0.33),0.79 (0.17),0.44 (0.05),0.14 (0.05),0.16 (0.01),0.0 (0.0)
svm,0.86,0.99 (0.66),0.61 (0.34),0.82 (0.18),0.59 (0.04),0.2 (0.06),0.16 (0.01),0.0 (0.0)
knn,0.85,0.99 (0.64),0.61 (0.36),0.84 (0.18),0.54 (0.05),0.25 (0.06),0.19 (0.01),0.0 (0.01)
mlp_sklearn,0.86,0.98 (0.67),0.63 (0.33),0.83 (0.17),0.58 (0.06),0.17 (0.05),0.35 (0.01),0.25 (0.0)
rand_for,0.76,0.9 (0.66),0.48 (0.34),0.61 (0.18),0.37 (0.04),0.31 (0.06),0.3 (0.01),0.5 (0.01)
dec_tree,0.82,0.97 (0.66),0.53 (0.34),0.78 (0.16),0.39 (0.05),0.26 (0.06),0.29 (0.01),0.0 (0.01)
ber_nb,0.82,0.94 (0.67),0.6 (0.33),0.78 (0.16),0.45 (0.04),0.38 (0.06),0.47 (0.01),0.0 (0.01)
xtra_tree,0.89,0.99 (0.67),0.68 (0.33),0.84 (0.18),0.68 (0.05),0.31 (0.04),0.36 (0.01),0.0 (0.0)
gau_nb,0.81,0.95 (0.65),0.56 (0.35),0.82 (0.17),0.49 (0.05),0.11 (0.06),0.17 (0.01),0.0 (0.01)
label_prop,0.83,0.95 (0.65),0.61 (0.35),0.82 (0.18),0.49 (0.05),0.16 (0.05),0.11 (0.01),0.11 (0.01)
label_spread,0.82,0.95 (0.67),0.57 (0.33),0.77 (0.16),0.43 (0.05),0.37 (0.04),0.36 (0.01),0.0 (0.01)
lda,0.82,0.98 (0.67),0.5 (0.33),0.8 (0.15),0.39 (0.05),0.09 (0.06),0.0 (0.01),0.0 (0.0)
ridge_cv,0.87,0.99 (0.66),0.64 (0.34),0.85 (0.17),0.65 (0.05),0.27 (0.05),0.41 (0.01),0.11 (0.01)
n_cent,0.77,0.92 (0.67),0.49 (0.33),0.68 (0.17),0.36 (0.05),0.2 (0.05),0.12 (0.01),0.12 (0.01)
ridge,0.88,1.0 (0.67),0.64 (0.33),0.86 (0.16),0.67 (0.05),0.22 (0.05),0.42 (0.01),0.19 (0.01)
