Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.84,0.98 (0.66),0.57 (0.34),0.8 (0.2),0.31 (0.05),0.12 (0.05),0.17 (0.01),0.0 (0.0)
svm,0.85,0.99 (0.65),0.61 (0.35),0.83 (0.17),0.53 (0.06),0.23 (0.05),0.27 (0.01),0.0 (0.01)
knn,0.87,0.99 (0.66),0.66 (0.34),0.86 (0.2),0.48 (0.05),0.27 (0.04),0.36 (0.02),0.0 (0.0)
mlp_sklearn,0.84,0.98 (0.65),0.59 (0.35),0.83 (0.18),0.43 (0.04),0.25 (0.06),0.17 (0.01),0.31 (0.01)
rand_for,0.77,0.91 (0.64),0.52 (0.36),0.67 (0.18),0.38 (0.05),0.31 (0.06),0.32 (0.01),0.0 (0.0)
dec_tree,0.81,0.97 (0.66),0.52 (0.34),0.71 (0.18),0.53 (0.05),0.25 (0.05),0.11 (0.01),0.3 (0.01)
ber_nb,0.79,0.92 (0.63),0.55 (0.37),0.69 (0.18),0.37 (0.04),0.35 (0.06),0.45 (0.01),0.0 (0.01)
xtra_tree,0.89,0.99 (0.66),0.68 (0.34),0.87 (0.17),0.56 (0.05),0.41 (0.06),0.37 (0.01),0.2 (0.01)
gau_nb,0.81,0.95 (0.66),0.52 (0.34),0.76 (0.16),0.42 (0.05),0.2 (0.05),0.17 (0.02),0.23 (0.01)
label_prop,0.84,0.96 (0.65),0.61 (0.35),0.79 (0.18),0.56 (0.05),0.28 (0.05),0.16 (0.02),0.17 (0.0)
label_spread,0.82,0.95 (0.64),0.59 (0.36),0.82 (0.19),0.53 (0.05),0.18 (0.06),0.19 (0.01),0.12 (0.01)
lda,0.78,0.98 (0.64),0.42 (0.36),0.71 (0.18),0.18 (0.05),0.09 (0.06),0.0 (0.01),0.0 (0.01)
ridge_cv,0.87,0.98 (0.65),0.66 (0.35),0.87 (0.17),0.73 (0.06),0.32 (0.05),0.32 (0.01),0.17 (0.01)
n_cent,0.77,0.92 (0.65),0.5 (0.35),0.67 (0.17),0.44 (0.05),0.19 (0.06),0.06 (0.01),0.0 (0.0)
ridge,0.87,0.99 (0.65),0.66 (0.35),0.86 (0.18),0.6 (0.05),0.28 (0.05),0.37 (0.01),0.0 (0.01)
