Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.82,0.99 (0.65),0.51 (0.35),0.82 (0.16),0.42 (0.05),0.08 (0.06),0.0 (0.0),0.0 (0.01)
svm,0.86,0.99 (0.68),0.58 (0.32),0.83 (0.18),0.62 (0.03),0.17 (0.05),0.17 (0.01),0.0 (0.01)
knn,0.9,0.99 (0.67),0.73 (0.33),0.9 (0.18),0.56 (0.04),0.44 (0.06),0.33 (0.01),0.0 (0.01)
mlp_sklearn,0.83,0.99 (0.64),0.54 (0.36),0.78 (0.18),0.37 (0.05),0.15 (0.06),0.14 (0.01),0.25 (0.01)
rand_for,0.75,0.91 (0.65),0.46 (0.35),0.56 (0.16),0.42 (0.05),0.3 (0.06),0.33 (0.03),nan (0.0)
dec_tree,0.84,0.98 (0.64),0.59 (0.36),0.8 (0.18),0.48 (0.05),0.38 (0.06),0.0 (0.02),0.0 (0.0)
ber_nb,0.83,0.94 (0.67),0.59 (0.33),0.76 (0.15),0.42 (0.05),0.45 (0.04),0.44 (0.02),0.0 (0.0)
xtra_tree,0.88,0.98 (0.66),0.68 (0.34),0.89 (0.16),0.67 (0.05),0.32 (0.07),0.5 (0.01),0.17 (0.01)
gau_nb,0.8,0.93 (0.67),0.55 (0.33),0.8 (0.15),0.63 (0.04),0.18 (0.05),0.2 (0.01),0.0 (0.01)
label_prop,0.83,0.94 (0.68),0.58 (0.32),0.78 (0.16),0.6 (0.07),0.21 (0.03),0.0 (0.01),0.0 (0.01)
label_spread,0.84,0.95 (0.67),0.61 (0.33),0.9 (0.15),0.47 (0.04),0.24 (0.05),0.0 (0.01),nan (0.0)
lda,0.84,0.98 (0.67),0.57 (0.33),0.88 (0.17),0.47 (0.04),0.07 (0.07),0.0 (0.01),0.5 (0.0)
ridge_cv,0.87,0.98 (0.66),0.65 (0.34),0.87 (0.16),0.7 (0.05),0.12 (0.06),1.0 (0.01),0.5 (0.0)
n_cent,0.78,0.92 (0.67),0.48 (0.33),0.67 (0.15),0.32 (0.05),0.26 (0.06),0.12 (0.02),0.33 (0.01)
ridge,0.9,1.0 (0.65),0.71 (0.35),0.91 (0.18),0.65 (0.05),0.37 (0.04),0.0 (0.0),0.25 (0.01)
