Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.83,0.99 (0.63),0.55 (0.37),0.8 (0.18),0.41 (0.05),0.14 (0.06),0.2 (0.02),0.22 (0.01)
svm,0.84,0.99 (0.63),0.59 (0.37),0.81 (0.18),0.54 (0.06),0.23 (0.05),0.17 (0.02),0.24 (0.01)
knn,0.84,0.99 (0.62),0.6 (0.38),0.83 (0.18),0.58 (0.06),0.2 (0.06),0.24 (0.02),0.08 (0.01)
mlp_sklearn,0.83,0.98 (0.63),0.59 (0.37),0.8 (0.19),0.49 (0.06),0.19 (0.05),0.18 (0.02),0.29 (0.01)
rand_for,0.78,0.93 (0.63),0.51 (0.37),0.67 (0.18),0.38 (0.05),0.29 (0.06),0.46 (0.02),0.18 (0.01)
dec_tree,0.83,0.97 (0.63),0.58 (0.37),0.8 (0.19),0.47 (0.06),0.25 (0.05),0.15 (0.02),0.15 (0.01)
ber_nb,0.8,0.93 (0.64),0.56 (0.36),0.73 (0.18),0.49 (0.05),0.29 (0.05),0.3 (0.02),0.0 (0.01)
xtra_tree,0.86,0.99 (0.62),0.65 (0.38),0.85 (0.18),0.59 (0.06),0.33 (0.06),0.37 (0.01),0.13 (0.01)
gau_nb,0.79,0.95 (0.62),0.52 (0.38),0.78 (0.18),0.35 (0.06),0.19 (0.07),0.33 (0.02),0.25 (0.01)
label_prop,0.82,0.95 (0.63),0.58 (0.37),0.82 (0.18),0.51 (0.06),0.23 (0.06),0.12 (0.01),0.17 (0.01)
label_spread,0.81,0.95 (0.62),0.57 (0.38),0.78 (0.19),0.55 (0.06),0.24 (0.06),0.21 (0.01),0.04 (0.01)
lda,0.8,0.98 (0.63),0.49 (0.37),0.79 (0.18),0.29 (0.05),0.06 (0.06),0.08 (0.02),0.23 (0.01)
ridge_cv,0.86,0.99 (0.63),0.65 (0.37),0.86 (0.19),0.61 (0.06),0.3 (0.05),0.39 (0.02),0.04 (0.01)
n_cent,0.77,0.94 (0.61),0.51 (0.39),0.71 (0.19),0.46 (0.05),0.21 (0.06),0.13 (0.02),0.07 (0.01)
ridge,0.85,0.99 (0.62),0.62 (0.38),0.87 (0.18),0.58 (0.06),0.2 (0.06),0.28 (0.02),0.05 (0.01)
