Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.82,0.99 (0.6),0.58 (0.4),0.85 (0.19),0.47 (0.06),0.18 (0.06),0.14 (0.02),0.24 (0.01)
svm,0.83,0.99 (0.59),0.6 (0.41),0.85 (0.19),0.55 (0.06),0.24 (0.06),0.23 (0.02),0.02 (0.01)
knn,0.84,0.99 (0.59),0.62 (0.41),0.85 (0.19),0.54 (0.07),0.27 (0.06),0.27 (0.02),0.24 (0.01)
mlp_sklearn,0.82,0.98 (0.6),0.57 (0.4),0.81 (0.19),0.5 (0.06),0.22 (0.06),0.2 (0.02),0.17 (0.01)
rand_for,0.75,0.94 (0.59),0.49 (0.41),0.68 (0.19),0.34 (0.07),0.25 (0.06),0.25 (0.03),0.26 (0.01)
dec_tree,0.79,0.98 (0.6),0.5 (0.4),0.75 (0.18),0.39 (0.07),0.21 (0.06),0.09 (0.02),0.11 (0.01)
ber_nb,0.75,0.93 (0.61),0.49 (0.39),0.67 (0.18),0.35 (0.07),0.27 (0.06),0.4 (0.02),0.09 (0.01)
xtra_tree,0.86,0.99 (0.6),0.66 (0.4),0.88 (0.19),0.6 (0.06),0.31 (0.07),0.36 (0.02),0.3 (0.01)
gau_nb,0.79,0.97 (0.59),0.53 (0.41),0.78 (0.19),0.36 (0.06),0.18 (0.06),0.26 (0.02),0.3 (0.01)
label_prop,0.8,0.96 (0.59),0.56 (0.41),0.77 (0.18),0.54 (0.07),0.26 (0.06),0.19 (0.02),0.28 (0.01)
label_spread,0.79,0.95 (0.59),0.56 (0.41),0.79 (0.19),0.48 (0.06),0.2 (0.07),0.2 (0.02),0.12 (0.01)
lda,0.79,0.99 (0.6),0.49 (0.4),0.79 (0.19),0.36 (0.06),0.09 (0.06),0.07 (0.02),0.11 (0.01)
ridge_cv,0.84,0.99 (0.59),0.63 (0.41),0.88 (0.19),0.58 (0.06),0.22 (0.06),0.24 (0.02),0.11 (0.01)
n_cent,0.78,0.95 (0.59),0.54 (0.41),0.75 (0.19),0.49 (0.06),0.17 (0.06),0.19 (0.02),0.14 (0.01)
ridge,0.84,0.99 (0.6),0.61 (0.4),0.86 (0.19),0.57 (0.06),0.23 (0.06),0.17 (0.02),0.09 (0.01)
