Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.82,0.99 (0.59),0.59 (0.41),0.82 (0.2),0.5 (0.07),0.22 (0.06),0.2 (0.02),0.22 (0.01)
svm,0.84,0.99 (0.59),0.62 (0.41),0.87 (0.19),0.52 (0.06),0.23 (0.06),0.22 (0.02),0.25 (0.01)
knn,0.83,0.99 (0.59),0.61 (0.41),0.86 (0.19),0.53 (0.07),0.24 (0.06),0.2 (0.02),0.17 (0.01)
mlp_sklearn,0.83,0.98 (0.6),0.6 (0.4),0.85 (0.19),0.54 (0.07),0.25 (0.06),0.17 (0.02),0.22 (0.01)
rand_for,0.77,0.94 (0.59),0.52 (0.41),0.7 (0.19),0.41 (0.06),0.29 (0.06),0.31 (0.02),0.28 (0.01)
dec_tree,0.79,0.97 (0.6),0.52 (0.4),0.76 (0.19),0.4 (0.06),0.2 (0.06),0.16 (0.02),0.12 (0.01)
ber_nb,0.77,0.93 (0.59),0.53 (0.41),0.71 (0.19),0.37 (0.07),0.29 (0.06),0.34 (0.02),0.14 (0.01)
xtra_tree,0.86,0.99 (0.6),0.67 (0.4),0.89 (0.19),0.58 (0.06),0.31 (0.06),0.32 (0.02),0.33 (0.01)
gau_nb,0.79,0.97 (0.59),0.53 (0.41),0.77 (0.19),0.39 (0.06),0.19 (0.07),0.29 (0.02),0.17 (0.01)
label_prop,0.8,0.96 (0.59),0.57 (0.41),0.79 (0.19),0.53 (0.07),0.24 (0.06),0.19 (0.02),0.21 (0.01)
label_spread,0.8,0.96 (0.6),0.57 (0.4),0.77 (0.19),0.55 (0.07),0.22 (0.06),0.2 (0.02),0.2 (0.01)
lda,0.78,0.98 (0.6),0.47 (0.4),0.75 (0.18),0.33 (0.06),0.11 (0.06),0.12 (0.02),0.14 (0.01)
ridge_cv,0.84,0.99 (0.59),0.62 (0.41),0.87 (0.18),0.65 (0.06),0.23 (0.06),0.19 (0.02),0.08 (0.01)
n_cent,0.78,0.94 (0.59),0.54 (0.41),0.76 (0.18),0.51 (0.07),0.18 (0.06),0.12 (0.02),0.08 (0.01)
ridge,0.83,0.99 (0.59),0.6 (0.41),0.86 (0.19),0.55 (0.07),0.19 (0.06),0.22 (0.02),0.05 (0.01)
