Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.82,0.99 (0.59),0.57 (0.41),0.84 (0.19),0.47 (0.07),0.15 (0.06),0.2 (0.02),0.2 (0.01)
svm,0.82,0.99 (0.59),0.59 (0.41),0.86 (0.18),0.53 (0.07),0.18 (0.06),0.23 (0.02),0.21 (0.01)
knn,0.84,0.99 (0.59),0.62 (0.41),0.85 (0.19),0.57 (0.06),0.25 (0.06),0.14 (0.02),0.25 (0.01)
mlp_sklearn,0.82,0.99 (0.59),0.58 (0.41),0.85 (0.19),0.46 (0.06),0.16 (0.06),0.15 (0.02),0.1 (0.01)
rand_for,0.77,0.94 (0.59),0.51 (0.41),0.7 (0.19),0.37 (0.07),0.28 (0.06),0.23 (0.02),0.3 (0.01)
dec_tree,0.82,0.99 (0.6),0.57 (0.4),0.83 (0.19),0.45 (0.07),0.19 (0.06),0.14 (0.02),0.1 (0.01)
ber_nb,0.8,0.95 (0.59),0.58 (0.41),0.78 (0.19),0.47 (0.07),0.31 (0.06),0.36 (0.02),0.08 (0.01)
xtra_tree,0.86,0.99 (0.6),0.67 (0.4),0.87 (0.2),0.6 (0.06),0.35 (0.06),0.36 (0.02),0.33 (0.01)
gau_nb,0.79,0.96 (0.59),0.52 (0.41),0.79 (0.19),0.36 (0.07),0.12 (0.06),0.32 (0.02),0.3 (0.01)
label_prop,0.8,0.96 (0.6),0.58 (0.4),0.8 (0.19),0.54 (0.06),0.21 (0.06),0.17 (0.02),0.23 (0.01)
label_spread,0.79,0.95 (0.6),0.56 (0.4),0.79 (0.19),0.52 (0.06),0.23 (0.06),0.2 (0.02),0.14 (0.01)
lda,0.73,0.98 (0.6),0.36 (0.4),0.63 (0.19),0.18 (0.06),0.05 (0.06),0.05 (0.02),0.07 (0.01)
ridge_cv,0.84,0.99 (0.6),0.62 (0.4),0.86 (0.19),0.62 (0.07),0.23 (0.06),0.23 (0.02),0.17 (0.01)
n_cent,0.78,0.94 (0.6),0.53 (0.4),0.75 (0.19),0.46 (0.06),0.2 (0.06),0.14 (0.02),0.19 (0.01)
ridge,0.84,0.99 (0.6),0.61 (0.4),0.87 (0.19),0.57 (0.06),0.19 (0.06),0.24 (0.02),0.18 (0.01)
2g4,0.85,0.99 (0.6),0.64 (0.4),0.88 (0.19),0.59 (0.06),0.26 (0.06),0.23 (0.02),0.15 (0.01)
2e4,0.85,0.99 (0.6),0.64 (0.4),0.88 (0.19),0.58 (0.07),0.26 (0.06),0.27 (0.02),0.22 (0.01)
2g8,0.85,0.99 (0.59),0.66 (0.41),0.87 (0.19),0.6 (0.07),0.32 (0.06),0.32 (0.02),0.24 (0.01)
2e8,0.86,0.99 (0.59),0.67 (0.41),0.87 (0.19),0.61 (0.07),0.34 (0.06),0.35 (0.02),0.3 (0.01)
2g9,0.86,0.99 (0.6),0.66 (0.4),0.87 (0.18),0.62 (0.07),0.33 (0.06),0.35 (0.02),0.24 (0.01)
2e9,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.6 (0.06),0.3 (0.06),0.35 (0.02),0.36 (0.01)
g10,0.86,0.99 (0.59),0.67 (0.41),0.88 (0.19),0.59 (0.06),0.37 (0.06),0.35 (0.02),0.35 (0.01)
e10,0.86,0.99 (0.6),0.67 (0.4),0.87 (0.18),0.6 (0.07),0.38 (0.06),0.34 (0.02),0.34 (0.01)
